10en,steam,Refs_steam,NameComment
0x401000,0x401000,0x401120 0 0x401050 1  0x401250 0 0x401190 1  0x401425 0 0x401380 1  0x40143A 0 0x401380 2  0x404709 0 0x404690 1  0x4049A6 0 0x404990 1  0x404B85 0 0x404A50 1  0x404C62 0 0x404A50 2  0x404EE2 0 0x404A50 3  0x406572 0 0x406530 1  0x4065D2 0 0x406580 1  0x406672 0 0x406610 1  0x4066B3 0 0x4066A0 1  0x4066D6 0 0x4066A0 2  0x40677E 0 0x406760 1  0x40826A 0 0x408260 1  0x40837F 0 0x408260 2  0x4085AE 0 0x4084F0 1  0x408739 0 0x4086F0 1  0x4087A6 0 0x4086F0 2  0x4088C3 0 0x4086F0 3  0x40A376 0 0x40A050 1  0x40A4CD 0 0x40A050 2  0x40AF7D 0 0x40AF60 1  0x40B4BF 0 0x40AF60 2  0x40BBCA 0 0x40B8A0 1  0x40C32B 0 0x40C1E0 1  0x40C3AC 0 0x40C1E0 2  0x40C4CD 0 0x40C1E0 3  0x40C544 0 0x40C1E0 4  0x40C754 0 0x40C1E0 5  0x40C9A4 0 0x40C770 1  0x40D99D 0 0x40D890 1  0x40FC4A 0 0x40FBC0 1  0x40FD92 0 0x40FBC0 2  0x410781 0 0x4100A0 1  0x4107A3 0 0x4100A0 2  0x438C72 0 0x438BA0 1  0x438CCC 0 0x438BA0 2  0x438D6A 0 0x438BA0 3  0x438DD5 0 0x438BA0 4  0x442B20 0 0x442980 1  0x442EBC 0 0x442C40 1  0x44E66C 0 0x44B310 1  0x453904 0 0x453550 1  0x453B61 0 0x453550 2  0x454E2A 0 0x453550 3  0x456BE8 0 0x454F10 1  0x456C65 0 0x454F10 2  0x459FC9 0 0x458DA0 1  0x45A626 0 0x458DA0 2  0x45B311 0 0x45B100 1  0x45F23F 0 0x45F060 1  0x45F2F2 0 0x45F060 2  0x487095 0 0x487090 1  0x4870D1 0 0x487090 2  0x487BDF 0 0x487B50 1  0x48A1E5 0 0x48A1E0 1  0x48A767 0 0x48A6D0 1  0x48A7DA 0 0x48A6D0 2  0x48A8A3 0 0x48A800 1  0x48A96A 0 0x48A800 2  0x48A9A5 0 0x48A990 1  0x48AA70 0 0x48A990 2  0x48ABB8 0 0x48AAA0 1  0x48AF5C 0 0x48AF40 1  0x48B954 0 0x48AF40 2  0x48C729 0 0x48C700 1  0x48D445 0 0x48D430 1  0x48D475 0 0x48D430 2  0x48D4AC 0 0x48D480 1  0x48D4C5 0 0x48D480 2  0x48D60F 0 0x48D600 1  0x48D6BE 0 0x48D6B0 1  0x48D781 0 0x48D700 1  0x48D94A 0 0x48D840 1  0x48DA5F 0 0x48D840 2  0x4A4C68 0 0x4A49D0 1  0x4A51A4 0 0x4A5190 1  0x4A51B2 0 0x4A5190 2  0x4A51C0 0 0x4A5190 3  0x4A51CE 0 0x4A5190 4  0x4A51DC 0 0x4A5190 5  0x4BFF52 0 0x4BFF40 1  0x4BFF6A 0 0x4BFF40 2  0x4BFF82 0 0x4BFF40 3  0x4BFF9A 0 0x4BFF40 4  0x4BFFB2 0 0x4BFF40 5  0x4BFFCA 0 0x4BFF40 6  0x4BFFE2 0 0x4BFF40 7  0x4BFFFA 0 0x4BFF40 8  0x4C0012 0 0x4BFF40 9  0x4C002A 0 0x4BFF40 10  0x4C9FC6 0 0x4C9E00 1  0x4D04AF 0 0x4D04A0 1  0x4D0C18 0 0x4D04A0 2  0x4D11CE 0 0x4D11C0 1  0x4D12A8 0 0x4D11C0 2  0x4DB60B 0 0x4DB450 1  0x4DB664 0 0x4DB450 2  0x4DB6BE 0 0x4DB450 3  0x4DB718 0 0x4DB450 4  0x4DB772 0 0x4DB450 5  0x4DB7CC 0 0x4DB450 6  0x4DB826 0 0x4DB450 7  0x4E481D 0 0x4E4420 1  0x50D8B5 0 0x50D8B0 1  0x50D8CF 0 0x50D8B0 2  0x530116 0 0x530110 1  0x530139 0 0x530110 2  0x530156 0 0x530150 1  0x53020B 0 0x530150 2  0x53021B 0 0x530150 3  0x530DB6 0 0x530DB0 1  0x530DD9 0 0x530DB0 2  0x530DF6 0 0x530DF0 1  0x530E7B 0 0x530DF0 2  0x530E8B 0 0x530DF0 3  0x53E9E5 0 0x53E9E0 1  0x53EAD2 0 0x53E9E0 2  0x54F765 0 0x54F4B0 1  0x55CD6A 0 0x55CD10 1  0x55CF87 0 0x55CD10 2  0x55CFF3 0 0x55CD10 3  0x55F93B 0 0x55F930 1  0x55F94C 0 0x55F930 2  0x55F95D 0 0x55F930 3  0x55F96E 0 0x55F930 4  0x55F97F 0 0x55F930 5  0x55F990 0 0x55F930 6  0x55F9A1 0 0x55F930 7  0x5649D6 0 0x5649D0 1  0x564DA2 0 0x5649D0 2  0x56581E 0 0x564DB0 1  0x565835 0 0x565830 1  0x56584A 0 0x565830 2  0x56F3F8 0 0x56F310 1  0x56F6E8 0 0x56F680 1  0x580A7C 0 0x580A20 1  0x580AEC 0 0x580A90 1  0x580B7C 0 0x580B00 1  0x5A7289 0 0x5A6FF0 1  0x5C46D5 0 0x5C46D0 1  0x5C46E0 0 0x5C46D0 2  0x5C46F5 0 0x5C46F0 1  0x5C4914 0 0x5C46F0 2  0x5C6655 0 0x5C6650 1  0x5C6683 0 0x5C6650 2  0x5C6735 0 0x5C6730 1  0x5C6769 0 0x5C6730 2  0x5C7A45 0 0x5C7A40 1  0x5C7A50 0 0x5C7A40 2  0x5C7A66 0 0x5C7A60 1  0x5C7C54 0 0x5C7A60 2  0x5C81C5 0 0x5C81C0 1  0x5C81D0 0 0x5C81C0 2  0x5C81E5 0 0x5C81E0 1  0x5C82C0 0 0x5C81E0 2  0x5D47F0 0 0x5D43B0 1  0x5D5505 0 0x5D5500 1  0x5D5510 0 0x5D5500 2  0x5D5525 0 0x5D5520 1  0x5D5628 0 0x5D5520 2  0x5D5638 0 0x5D5520 3  0x5EF6C8 0 0x5EF660 1  0x5F05F8 0 0x5F0560 1  0x5F0EBD 0 0x5F0B00 1  0x5F1EAD 0 0x5F1D10 1  0x5FA5F5 0 0x5FA350 1  0x5FC9F9 0 0x5FC8E0 1  0x5FD1D9 0 0x5FD150 1  0x600475 0 0x600430 1  0x6004A9 0 0x600430 2  0x6004DB 0 0x600430 3  0x60050E 0 0x600430 4  0x60053E 0 0x600430 5  0x60056E 0 0x600430 6  0x60059E 0 0x600430 7  0x6005CD 0 0x600430 8  0x6005FA 0 0x600430 9  0x600634 0 0x600430 10  0x600692 0 0x600430 11  0x6006BD 0 0x600430 12  0x6006EA 0 0x600430 13  0x600B92 0 0x600A00 1  0x600BBE 0 0x600A00 2  0x601106 0 0x600D20 1  0x60112D 0 0x600D20 2  0x6017FB 0 0x601650 1  0x601810 0 0x601650 2  0x601823 0 0x601650 3  0x601836 0 0x601650 4  0x601870 0 0x601650 5  0x60188F 0 0x601650 6  0x6018AB 0 0x601650 7  0x6018DF 0 0x601650 8  0x6018F6 0 0x601650 9  0x601920 0 0x601650 10  0x601A4F 0 0x601650 11  0x601A61 0 0x601650 12  0x601A73 0 0x601650 13  0x601A85 0 0x601650 14  0x606452 0 0x606350 1  0x606469 0 0x606350 2  0x606D25 0 0x606350 3  0x606D75 0 0x606350 4  0x61A6A6 0 0x61A320 1  0x61A7B9 0 0x61A320 2  0x61A8D9 0 0x61A320 3  0x61A9F9 0 0x61A320 4  0x61AB19 0 0x61A320 5  0x61AC43 0 0x61A320 6  0x61AD59 0 0x61A320 7  0x61AD81 0 0x61A320 8  0x61AF99 0 0x61A320 9  0x61B0B9 0 0x61A320 10  0x61B1D9 0 0x61A320 11  0x61B2F9 0 0x61A320 12  0x61B419 0 0x61A320 13  0x61B539 0 0x61A320 14  0x61B659 0 0x61A320 15  0x61B779 0 0x61A320 16  0x61B899 0 0x61A320 17  0x61B9B9 0 0x61A320 18  0x61BAD9 0 0x61A320 19  0x61BC09 0 0x61A320 20  0x61BD29 0 0x61A320 21  0x61BE49 0 0x61A320 22  0x61BF69 0 0x61A320 23  0x61C02C 0 0x61A320 24  0x61C3B4 0 0x61C040 1  0x61C441 0 0x61C040 2  0x61C4BA 0 0x61C040 3  0x61C533 0 0x61C040 4  0x61C5B3 0 0x61C040 5  0x61C633 0 0x61C040 6  0x61C6C0 0 0x61C040 7  0x61C739 0 0x61C040 8  0x61C7B3 0 0x61C040 9  0x61C836 0 0x61C040 10  0x61C8B3 0 0x61C040 11  0x61C933 0 0x61C040 12  0x61C9B3 0 0x61C040 13  0x61CA33 0 0x61C040 14  0x61CAB3 0 0x61C040 15  0x61CB33 0 0x61C040 16  0x61CBB3 0 0x61C040 17  0x61CC33 0 0x61C040 18  0x61CCC4 0 0x61C040 19  0x61CD43 0 0x61C040 20  0x61CDD0 0 0x61C040 21  0x61CE49 0 0x61C040 22  0x61CEC3 0 0x61C040 23  0x61ED77 0 0x61ED20 1  0x61EE27 0 0x61ED20 2  0x61EEE5 0 0x61EE40 1  0x621D65 0 0x621A40 1  0x622745 0 0x622200 1  0x623618 0 0x623380 1  0x624F12 0 0x624EC0 1  0x624F6B 0 0x624EC0 2  0x62500B 0 0x624F80 1  0x625072 0 0x625020 1  0x6250CB 0 0x625020 2  0x62516B 0 0x6250E0 1  0x6251CD 0 0x625180 1  0x625220 0 0x625180 2  0x6252AD 0 0x625230 1  0x62530D 0 0x6252C0 1  0x625360 0 0x6252C0 2  0x6253ED 0 0x625370 1  0x62544D 0 0x625400 1  0x6254A0 0 0x625400 2  0x62552D 0 0x6254B0 1  0x625584 0 0x625540 1  0x6255DB 0 0x625540 2  0x62566B 0 0x6255F0 1  0x626CDC 0 0x626CD0 1  0x626E37 0 0x626E30 1  0x626E58 0 0x626E30 2  0x62A4E5 0 0x62A470 1  0x62E9F6 0 0x62E600 1  0x62F5DA 0 0x62E600 2  0x63165B 0 0x630310 1,_dbgprint
0x401010,0x401010,0x4057C8 0 0x405640 1  0x4058CB 0 0x4058B0 1,CAnimBlendAssocGroup::CopyAnimation(uint)
0x401050,0x401050,0x406701 0 0x4066A0 1,CAnimBlendAssocGroup::CopyAnimation(char const*)
0x401180,0x401180,0x40556A 0 0x405430 1  0x405690 0 0x405640 1  0x4056CB 0 0x405640 2  0x405979 0 0x405960 1,CAnimBlendAssocGroup::GetAnimation(uint)
0x401190,0x401190,0x405959 0 0x405940 1  0x40668A 0 0x406680 1  0x4066C7 0 0x4066A0 1,CAnimBlendAssocGroup::GetAnimation(char const*)
0x401270,0x401270,0x4049BE 0 0x404990 1,CAnimBlendAssocGroup::DestroyAssociations(void)
0x4012A0,0x4012A0,0x40553E 0 0x405430 1,"CAnimBlendAssocGroup::CreateAssociations(char const*,RpClump *,char **,int)"
0x401380,0x401380,0x406E14 0 0x406D30 1,CAnimBlendAssocGroup::CreateAssociations(char const*)
0x4014D0,0x4014D0,0x401413 0 0x401380 1,GetModelFromName(char const*)
0x401590,0x401590,0x401557 0 0x4014D0 1,"strcmpIgnoringDigits(char const*,char const*)"
